InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
i3.8xlarge,32,244.0,70%,<5%,Linux/UNIX,us-east-1
i3.16xlarge,64,488.0,70%,<5%,Linux/UNIX,us-east-1
i3.metal,72,512.0,70%,<5%,Linux/UNIX,us-east-1
m1.small,1,1.7,90%,<5%,Linux/UNIX,us-east-1
m1.medium,1,3.75,90%,<5%,Linux/UNIX,us-east-1
m1.large,2,7.5,90%,<5%,Linux/UNIX,us-east-1
m1.xlarge,4,15.0,90%,<5%,Linux/UNIX,us-east-1
m2.xlarge,2,17.1,90%,<5%,Linux/UNIX,us-east-1
m2.2xlarge,4,34.2,90%,5-10%,Linux/UNIX,us-east-1
m2.4xlarge,8,68.4,90%,5-10%,Linux/UNIX,us-east-1
m3.medium,1,3.75,90%,<5%,Linux/UNIX,us-east-1
m3.large,2,7.5,77%,<5%,Linux/UNIX,us-east-1
m3.xlarge,4,15.0,77%,<5%,Linux/UNIX,us-east-1
m3.2xlarge,8,30.0,77%,5-10%,Linux/UNIX,us-east-1
m4.large,2,8.0,68%,<5%,Linux/UNIX,us-east-1
m4.xlarge,4,16.0,68%,<5%,Linux/UNIX,us-east-1
m4.2xlarge,8,32.0,67%,5-10%,Linux/UNIX,us-east-1
m4.4xlarge,16,64.0,65%,5-10%,Linux/UNIX,us-east-1
m4.10xlarge,40,160.0,68%,5-10%,Linux/UNIX,us-east-1
m4.16xlarge,64,256.0,67%,<5%,Linux/UNIX,us-east-1
m5.large,2,8.0,65%,<5%,Linux/UNIX,us-east-1
m5.xlarge,4,16.0,62%,>20%,Linux/UNIX,us-east-1
m5.2xlarge,8,32.0,63%,>20%,Linux/UNIX,us-east-1
m5.4xlarge,16,64.0,64%,10-15%,Linux/UNIX,us-east-1
m5.12xlarge,48,192.0,65%,5-10%,Linux/UNIX,us-east-1
m5.24xlarge,96,384.0,65%,<5%,Linux/UNIX,us-east-1
m5.metal,96,384.0,76%,<5%,Linux/UNIX,us-east-1
m5a.large,2,8.0,60%,5-10%,Linux/UNIX,us-east-1
m5a.xlarge,4,16.0,60%,10-15%,Linux/UNIX,us-east-1
m5a.2xlarge,8,32.0,58%,>20%,Linux/UNIX,us-east-1
m5a.4xlarge,16,64.0,60%,>20%,Linux/UNIX,us-east-1
m5a.12xlarge,48,192.0,60%,>20%,Linux/UNIX,us-east-1
m5a.24xlarge,96,384.0,60%,10-15%,Linux/UNIX,us-east-1
m5ad.large,2,8.0,67%,10-15%,Linux/UNIX,us-east-1
m5ad.xlarge,4,16.0,67%,>20%,Linux/UNIX,us-east-1
m5ad.2xlarge,8,32.0,67%,>20%,Linux/UNIX,us-east-1
m5ad.4xlarge,16,64.0,67%,15-20%,Linux/UNIX,us-east-1
m5ad.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-east-1
m5ad.24xlarge,96,384.0,67%,15-20%,Linux/UNIX,us-east-1
m5d.large,2,8.0,70%,<5%,Linux/UNIX,us-east-1
m5d.xlarge,4,16.0,66%,5-10%,Linux/UNIX,us-east-1
m5d.2xlarge,8,32.0,70%,>20%,Linux/UNIX,us-east-1
m5d.4xlarge,16,64.0,70%,>20%,Linux/UNIX,us-east-1
m5d.12xlarge,48,192.0,70%,>20%,Linux/UNIX,us-east-1
m5d.24xlarge,96,384.0,70%,15-20%,Linux/UNIX,us-east-1
m5d.metal,96,384.0,80%,>20%,Linux/UNIX,us-east-1
p2.xlarge,4,61.0,62%,5-10%,Linux/UNIX,us-east-1
p2.8xlarge,32,488.0,70%,>20%,Linux/UNIX,us-east-1
p2.16xlarge,64,768.0,70%,>20%,Linux/UNIX,us-east-1
p3.2xlarge,8,61.0,67%,15-20%,Linux/UNIX,us-east-1
p3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-east-1
p3.16xlarge,64,488.0,70%,<5%,Linux/UNIX,us-east-1
p3dn.24xlarge,96,768.0,70%,>20%,Linux/UNIX,us-east-1
